iteration= 0	 chi2= 3718855246.283854	 time= 0.00282567	 cumTime= 0.00282567	 edges= 827	 schur= 0	 lambda= 14058.252287	 levenbergIter= 1
iteration= 1	 chi2= 579648510.902606	 time= 0.00103358	 cumTime= 0.00385925	 edges= 827	 schur= 0	 lambda= 9372.168191	 levenbergIter= 1
iteration= 2	 chi2= 19391360.394990	 time= 0.000936435	 cumTime= 0.00479568	 edges= 827	 schur= 0	 lambda= 3124.056064	 levenbergIter= 1
iteration= 3	 chi2= 355047.888635	 time= 0.000901135	 cumTime= 0.00569682	 edges= 827	 schur= 0	 lambda= 1041.352021	 levenbergIter= 1
iteration= 4	 chi2= 347923.620549	 time= 0.000909363	 cumTime= 0.00660618	 edges= 827	 schur= 0	 lambda= 347.117340	 levenbergIter= 1
iteration= 5	 chi2= 337692.278463	 time= 0.000970084	 cumTime= 0.00757627	 edges= 827	 schur= 0	 lambda= 115.705780	 levenbergIter= 1
iteration= 6	 chi2= 318349.712978	 time= 0.000967796	 cumTime= 0.00854406	 edges= 827	 schur= 0	 lambda= 38.568593	 levenbergIter= 1
iteration= 7	 chi2= 279263.746366	 time= 0.00107277	 cumTime= 0.00961683	 edges= 827	 schur= 0	 lambda= 12.856198	 levenbergIter= 1
iteration= 8	 chi2= 221809.029286	 time= 0.00094257	 cumTime= 0.0105594	 edges= 827	 schur= 0	 lambda= 5.540898	 levenbergIter= 1
iteration= 9	 chi2= 168853.607714	 time= 0.000943313	 cumTime= 0.0115027	 edges= 827	 schur= 0	 lambda= 3.183460	 levenbergIter= 1
iteration= 10	 chi2= 129470.569691	 time= 0.00130464	 cumTime= 0.0128074	 edges= 827	 schur= 0	 lambda= 1.874029	 levenbergIter= 1
iteration= 11	 chi2= 102794.040512	 time= 0.000965421	 cumTime= 0.0137728	 edges= 827	 schur= 0	 lambda= 1.249353	 levenbergIter= 1
iteration= 12	 chi2= 80026.981339	 time= 0.000925776	 cumTime= 0.0146986	 edges= 827	 schur= 0	 lambda= 0.832902	 levenbergIter= 1
iteration= 13	 chi2= 68362.579703	 time= 0.00090394	 cumTime= 0.0156025	 edges= 827	 schur= 0	 lambda= 0.555268	 levenbergIter= 1
iteration= 14	 chi2= 61863.992321	 time= 0.000900863	 cumTime= 0.0165034	 edges= 827	 schur= 0	 lambda= 0.370179	 levenbergIter= 1
iteration= 15	 chi2= 60353.402830	 time= 0.000899618	 cumTime= 0.017403	 edges= 827	 schur= 0	 lambda= 0.246786	 levenbergIter= 1
iteration= 16	 chi2= 34221.182739	 time= 0.00153831	 cumTime= 0.0189413	 edges= 827	 schur= 0	 lambda= 0.329048	 levenbergIter= 2
iteration= 17	 chi2= 27214.893393	 time= 0.00152853	 cumTime= 0.0204698	 edges= 827	 schur= 0	 lambda= 0.438730	 levenbergIter= 2
iteration= 18	 chi2= 26283.780942	 time= 0.000904249	 cumTime= 0.0213741	 edges= 827	 schur= 0	 lambda= 0.292487	 levenbergIter= 1
