iteration= 0	 chi2= 491888.619278	 time= 0.223059	 cumTime= 0.223059	 edges= 4949	 schur= 0	 lambda= 0.224733	 levenbergIter= 1
iteration= 1	 chi2= 174977.170800	 time= 0.198434	 cumTime= 0.421493	 edges= 4949	 schur= 0	 lambda= 0.149822	 levenbergIter= 1
iteration= 2	 chi2= 61370.355779	 time= 0.19855	 cumTime= 0.620042	 edges= 4949	 schur= 0	 lambda= 0.099881	 levenbergIter= 1
iteration= 3	 chi2= 22490.935576	 time= 0.201033	 cumTime= 0.821075	 edges= 4949	 schur= 0	 lambda= 0.066588	 levenbergIter= 1
iteration= 4	 chi2= 10227.820462	 time= 0.198505	 cumTime= 1.01958	 edges= 4949	 schur= 0	 lambda= 0.022196	 levenbergIter= 1
iteration= 5	 chi2= 6293.704601	 time= 0.198821	 cumTime= 1.2184	 edges= 4949	 schur= 0	 lambda= 0.011403	 levenbergIter= 1
iteration= 6	 chi2= 3638.586079	 time= 0.199175	 cumTime= 1.41758	 edges= 4949	 schur= 0	 lambda= 0.003801	 levenbergIter= 1
iteration= 7	 chi2= 2403.504186	 time= 0.198365	 cumTime= 1.61594	 edges= 4949	 schur= 0	 lambda= 0.002534	 levenbergIter= 1
iteration= 8	 chi2= 1077.908191	 time= 0.198513	 cumTime= 1.81445	 edges= 4949	 schur= 0	 lambda= 0.001687	 levenbergIter= 1
iteration= 9	 chi2= 727.540689	 time= 0.198381	 cumTime= 2.01284	 edges= 4949	 schur= 0	 lambda= 0.000562	 levenbergIter= 1
iteration= 10	 chi2= 727.149537	 time= 0.198436	 cumTime= 2.21127	 edges= 4949	 schur= 0	 lambda= 0.000187	 levenbergIter= 1
iteration= 11	 chi2= 727.149446	 time= 0.198573	 cumTime= 2.40984	 edges= 4949	 schur= 0	 lambda= 0.000125	 levenbergIter= 1
iteration= 12	 chi2= 727.149446	 time= 0.198923	 cumTime= 2.60877	 edges= 4949	 schur= 0	 lambda= 0.000083	 levenbergIter= 1
iteration= 13	 chi2= 727.149446	 time= 0.782491	 cumTime= 3.39126	 edges= 4949	 schur= 0	 lambda= 0.003555	 levenbergIter= 4
iteration= 14	 chi2= 727.149446	 time= 0.988518	 cumTime= 4.37978	 edges= 4949	 schur= 0	 lambda= 116.493966	 levenbergIter= 5
iteration= 0	 chi2= 487382.949663	 time= 0.169544	 cumTime= 0.169544	 edges= 4949	 schur= 0	 lambda= 0.384977	 levenbergIter= 1
iteration= 1	 chi2= 212837.912771	 time= 0.146097	 cumTime= 0.315642	 edges= 4949	 schur= 0	 lambda= 0.256651	 levenbergIter= 1
iteration= 2	 chi2= 97873.581745	 time= 0.146093	 cumTime= 0.461734	 edges= 4949	 schur= 0	 lambda= 0.171101	 levenbergIter= 1
iteration= 3	 chi2= 43556.157525	 time= 0.145927	 cumTime= 0.607661	 edges= 4949	 schur= 0	 lambda= 0.114067	 levenbergIter= 1
iteration= 4	 chi2= 19050.069774	 time= 0.14595	 cumTime= 0.753611	 edges= 4949	 schur= 0	 lambda= 0.075959	 levenbergIter= 1
iteration= 5	 chi2= 10668.103417	 time= 0.146281	 cumTime= 0.899892	 edges= 4949	 schur= 0	 lambda= 0.025689	 levenbergIter= 1
iteration= 6	 chi2= 6657.885270	 time= 0.145835	 cumTime= 1.04573	 edges= 4949	 schur= 0	 lambda= 0.008563	 levenbergIter= 1
iteration= 7	 chi2= 4600.296493	 time= 0.145736	 cumTime= 1.19146	 edges= 4949	 schur= 0	 lambda= 0.002854	 levenbergIter= 1
iteration= 8	 chi2= 3194.072562	 time= 0.145846	 cumTime= 1.33731	 edges= 4949	 schur= 0	 lambda= 0.001903	 levenbergIter= 1
iteration= 9	 chi2= 1642.297165	 time= 0.146249	 cumTime= 1.48356	 edges= 4949	 schur= 0	 lambda= 0.001269	 levenbergIter= 1
iteration= 10	 chi2= 813.765245	 time= 0.1461	 cumTime= 1.62966	 edges= 4949	 schur= 0	 lambda= 0.000423	 levenbergIter= 1
iteration= 11	 chi2= 810.630015	 time= 0.146348	 cumTime= 1.77601	 edges= 4949	 schur= 0	 lambda= 0.000141	 levenbergIter= 1
iteration= 12	 chi2= 810.629545	 time= 0.146025	 cumTime= 1.92203	 edges= 4949	 schur= 0	 lambda= 0.000094	 levenbergIter= 1
iteration= 13	 chi2= 810.629544	 time= 0.146437	 cumTime= 2.06847	 edges= 4949	 schur= 0	 lambda= 0.000063	 levenbergIter= 1
iteration= 14	 chi2= 810.629544	 time= 0.146124	 cumTime= 2.21459	 edges= 4949	 schur= 0	 lambda= 0.000042	 levenbergIter= 1
iteration= 15	 chi2= 810.629544	 time= 0.146321	 cumTime= 2.36091	 edges= 4949	 schur= 0	 lambda= 0.000028	 levenbergIter= 1
iteration= 16	 chi2= 810.629544	 time= 0.288002	 cumTime= 2.64891	 edges= 4949	 schur= 0	 lambda= 0.000037	 levenbergIter= 2
iteration= 17	 chi2= 810.629544	 time= 0.430386	 cumTime= 3.0793	 edges= 4949	 schur= 0	 lambda= 0.000198	 levenbergIter= 3
iteration= 18	 chi2= 810.629544	 time= 0.571415	 cumTime= 3.65071	 edges= 4949	 schur= 0	 lambda= 0.008448	 levenbergIter= 4
iteration= 19	 chi2= 810.629544	 time= 0.429715	 cumTime= 4.08043	 edges= 4949	 schur= 0	 lambda= 0.045055	 levenbergIter= 3
iteration= 0	 chi2= 484461.995000	 time= 0.169552	 cumTime= 0.169552	 edges= 4949	 schur= 0	 lambda= 0.413342	 levenbergIter= 1
iteration= 1	 chi2= 220166.330108	 time= 0.147192	 cumTime= 0.316744	 edges= 4949	 schur= 0	 lambda= 0.275561	 levenbergIter= 1
iteration= 2	 chi2= 107127.284253	 time= 0.147217	 cumTime= 0.463961	 edges= 4949	 schur= 0	 lambda= 0.183707	 levenbergIter= 1
iteration= 3	 chi2= 48819.226457	 time= 0.147018	 cumTime= 0.610979	 edges= 4949	 schur= 0	 lambda= 0.122472	 levenbergIter= 1
iteration= 4	 chi2= 21901.618517	 time= 0.146872	 cumTime= 0.75785	 edges= 4949	 schur= 0	 lambda= 0.081648	 levenbergIter= 1
iteration= 5	 chi2= 11499.753729	 time= 0.147124	 cumTime= 0.904974	 edges= 4949	 schur= 0	 lambda= 0.031883	 levenbergIter= 1
iteration= 6	 chi2= 7100.647088	 time= 0.146882	 cumTime= 1.05186	 edges= 4949	 schur= 0	 lambda= 0.010628	 levenbergIter= 1
iteration= 7	 chi2= 4839.784380	 time= 0.147477	 cumTime= 1.19933	 edges= 4949	 schur= 0	 lambda= 0.003543	 levenbergIter= 1
iteration= 8	 chi2= 3268.227192	 time= 0.146728	 cumTime= 1.34606	 edges= 4949	 schur= 0	 lambda= 0.002362	 levenbergIter= 1
iteration= 9	 chi2= 1837.912282	 time= 0.147314	 cumTime= 1.49338	 edges= 4949	 schur= 0	 lambda= 0.001574	 levenbergIter= 1
iteration= 10	 chi2= 759.073810	 time= 0.147173	 cumTime= 1.64055	 edges= 4949	 schur= 0	 lambda= 0.000525	 levenbergIter= 1
iteration= 11	 chi2= 729.786276	 time= 0.14724	 cumTime= 1.78779	 edges= 4949	 schur= 0	 lambda= 0.000175	 levenbergIter= 1
iteration= 12	 chi2= 729.777278	 time= 0.146787	 cumTime= 1.93458	 edges= 4949	 schur= 0	 lambda= 0.000083	 levenbergIter= 1
iteration= 13	 chi2= 729.777276	 time= 0.147172	 cumTime= 2.08175	 edges= 4949	 schur= 0	 lambda= 0.000055	 levenbergIter= 1
iteration= 14	 chi2= 729.777276	 time= 0.432209	 cumTime= 2.51396	 edges= 4949	 schur= 0	 lambda= 0.000294	 levenbergIter= 3
iteration= 15	 chi2= 729.777276	 time= 0.718336	 cumTime= 3.23229	 edges= 4949	 schur= 0	 lambda= 0.200650	 levenbergIter= 5
iteration= 16	 chi2= 729.777276	 time= 0.717171	 cumTime= 3.94946	 edges= 4949	 schur= 0	 lambda= 136.977202	 levenbergIter= 5
iteration= 17	 chi2= 729.777276	 time= 0.289725	 cumTime= 4.23919	 edges= 4949	 schur= 0	 lambda= 182.636269	 levenbergIter= 2
iteration= 18	 chi2= 729.777276	 time= 1.66837	 cumTime= 5.90755	 edges= 4949	 schur= 0	 lambda= 12550668828797.554688	 levenbergIter= 8
iteration= 0	 chi2= 489244.709652	 time= 0.172449	 cumTime= 0.172449	 edges= 4949	 schur= 0	 lambda= 0.348928	 levenbergIter= 1
iteration= 1	 chi2= 208103.926423	 time= 0.152768	 cumTime= 0.325217	 edges= 4949	 schur= 0	 lambda= 0.232619	 levenbergIter= 1
iteration= 2	 chi2= 90360.354253	 time= 0.152817	 cumTime= 0.478034	 edges= 4949	 schur= 0	 lambda= 0.155079	 levenbergIter= 1
iteration= 3	 chi2= 37222.100442	 time= 0.152476	 cumTime= 0.630511	 edges= 4949	 schur= 0	 lambda= 0.103386	 levenbergIter= 1
iteration= 4	 chi2= 16529.895483	 time= 0.15359	 cumTime= 0.7841	 edges= 4949	 schur= 0	 lambda= 0.057832	 levenbergIter= 1
iteration= 5	 chi2= 9477.937863	 time= 0.152793	 cumTime= 0.936894	 edges= 4949	 schur= 0	 lambda= 0.019277	 levenbergIter= 1
iteration= 6	 chi2= 5901.503119	 time= 0.152977	 cumTime= 1.08987	 edges= 4949	 schur= 0	 lambda= 0.006426	 levenbergIter= 1
iteration= 7	 chi2= 4004.961388	 time= 0.152768	 cumTime= 1.24264	 edges= 4949	 schur= 0	 lambda= 0.003112	 levenbergIter= 1
iteration= 8	 chi2= 2471.167934	 time= 0.152704	 cumTime= 1.39534	 edges= 4949	 schur= 0	 lambda= 0.002074	 levenbergIter= 1
iteration= 9	 chi2= 1064.573684	 time= 0.152623	 cumTime= 1.54797	 edges= 4949	 schur= 0	 lambda= 0.001357	 levenbergIter= 1
iteration= 10	 chi2= 732.827644	 time= 0.152407	 cumTime= 1.70037	 edges= 4949	 schur= 0	 lambda= 0.000452	 levenbergIter= 1
iteration= 11	 chi2= 732.456389	 time= 0.152514	 cumTime= 1.85289	 edges= 4949	 schur= 0	 lambda= 0.000151	 levenbergIter= 1
iteration= 12	 chi2= 732.456311	 time= 0.152758	 cumTime= 2.00564	 edges= 4949	 schur= 0	 lambda= 0.000101	 levenbergIter= 1
iteration= 13	 chi2= 732.456311	 time= 0.152317	 cumTime= 2.15796	 edges= 4949	 schur= 0	 lambda= 0.000067	 levenbergIter= 1
iteration= 14	 chi2= 732.456311	 time= 0.596717	 cumTime= 2.75468	 edges= 4949	 schur= 0	 lambda= 0.002860	 levenbergIter= 4
iteration= 15	 chi2= 732.456311	 time= 2.05093	 cumTime= 4.80561	 edges= 4949	 schur= 0	 lambda= 67083147792.015564	 levenbergIter= 10
iteration= 0	 chi2= 487542.424269	 time= 0.20139	 cumTime= 0.20139	 edges= 4949	 schur= 0	 lambda= 0.322794	 levenbergIter= 1
iteration= 1	 chi2= 201966.040407	 time= 0.153056	 cumTime= 0.354445	 edges= 4949	 schur= 0	 lambda= 0.215196	 levenbergIter= 1
iteration= 2	 chi2= 85831.883377	 time= 0.151761	 cumTime= 0.506207	 edges= 4949	 schur= 0	 lambda= 0.143464	 levenbergIter= 1
iteration= 3	 chi2= 36029.820065	 time= 0.150575	 cumTime= 0.656782	 edges= 4949	 schur= 0	 lambda= 0.095643	 levenbergIter= 1
iteration= 4	 chi2= 15795.664084	 time= 0.150681	 cumTime= 0.807463	 edges= 4949	 schur= 0	 lambda= 0.056063	 levenbergIter= 1
iteration= 5	 chi2= 9138.479333	 time= 0.160464	 cumTime= 0.967927	 edges= 4949	 schur= 0	 lambda= 0.019974	 levenbergIter= 1
