iteration= 0	 chi2= 98.321957	 time= 0.0156831	 cumTime= 0.0156831	 edges= 4677	 schur= 0	 lambda= 4.911177	 levenbergIter= 1
iteration= 1	 chi2= 98.321681	 time= 0.00622946	 cumTime= 0.0219125	 edges= 4677	 schur= 0	 lambda= 3.274118	 levenbergIter= 1
iteration= 2	 chi2= 98.321671	 time= 0.0069561	 cumTime= 0.0288686	 edges= 4677	 schur= 0	 lambda= 2.182745	 levenbergIter= 1
iteration= 3	 chi2= 98.321669	 time= 0.00649078	 cumTime= 0.0353594	 edges= 4677	 schur= 0	 lambda= 1.455163	 levenbergIter= 1
iteration= 4	 chi2= 98.321668	 time= 0.00673254	 cumTime= 0.0420919	 edges= 4677	 schur= 0	 lambda= 0.970109	 levenbergIter= 1
iteration= 5	 chi2= 98.321667	 time= 0.00642813	 cumTime= 0.0485201	 edges= 4677	 schur= 0	 lambda= 0.646739	 levenbergIter= 1
iteration= 6	 chi2= 98.321667	 time= 0.00619138	 cumTime= 0.0547115	 edges= 4677	 schur= 0	 lambda= 0.431160	 levenbergIter= 1
iteration= 7	 chi2= 98.321667	 time= 0.00617537	 cumTime= 0.0608868	 edges= 4677	 schur= 0	 lambda= 0.287440	 levenbergIter= 1
iteration= 8	 chi2= 98.321667	 time= 0.00606621	 cumTime= 0.066953	 edges= 4677	 schur= 0	 lambda= 0.191626	 levenbergIter= 1
iteration= 9	 chi2= 98.321667	 time= 0.00605255	 cumTime= 0.0730056	 edges= 4677	 schur= 0	 lambda= 0.127751	 levenbergIter= 1
iteration= 10	 chi2= 98.321667	 time= 0.00604992	 cumTime= 0.0790555	 edges= 4677	 schur= 0	 lambda= 0.085167	 levenbergIter= 1
iteration= 11	 chi2= 98.321667	 time= 0.00603904	 cumTime= 0.0850945	 edges= 4677	 schur= 0	 lambda= 0.056778	 levenbergIter= 1
iteration= 12	 chi2= 98.321667	 time= 0.00599961	 cumTime= 0.0910941	 edges= 4677	 schur= 0	 lambda= 0.037852	 levenbergIter= 1
iteration= 13	 chi2= 98.321667	 time= 0.00600504	 cumTime= 0.0970992	 edges= 4677	 schur= 0	 lambda= 0.025235	 levenbergIter= 1
iteration= 14	 chi2= 98.321667	 time= 0.00600704	 cumTime= 0.103106	 edges= 4677	 schur= 0	 lambda= 0.016823	 levenbergIter= 1
iteration= 15	 chi2= 98.321667	 time= 0.00652081	 cumTime= 0.109627	 edges= 4677	 schur= 0	 lambda= 0.011215	 levenbergIter= 1
iteration= 16	 chi2= 98.321667	 time= 0.00604257	 cumTime= 0.11567	 edges= 4677	 schur= 0	 lambda= 0.007477	 levenbergIter= 1
iteration= 17	 chi2= 98.321667	 time= 0.00609852	 cumTime= 0.121768	 edges= 4677	 schur= 0	 lambda= 0.004985	 levenbergIter= 1
iteration= 18	 chi2= 98.321667	 time= 0.00600159	 cumTime= 0.12777	 edges= 4677	 schur= 0	 lambda= 0.003323	 levenbergIter= 1
iteration= 19	 chi2= 98.321667	 time= 0.0060638	 cumTime= 0.133834	 edges= 4677	 schur= 0	 lambda= 0.002215	 levenbergIter= 1
iteration= 0	 chi2= 4971.546366	 time= 0.0158991	 cumTime= 0.0158991	 edges= 4677	 schur= 0	 lambda= 4.911177	 levenbergIter= 1
iteration= 1	 chi2= 4751.398681	 time= 0.00733117	 cumTime= 0.0232302	 edges= 4677	 schur= 0	 lambda= 1.637059	 levenbergIter= 1
