iteration= 0	 chi2= 17429983.072966	 time= 0.139686	 cumTime= 0.139686	 edges= 20687	 schur= 0	 lambda= 6.635543	 levenbergIter= 1
iteration= 1	 chi2= 2083446.220419	 time= 0.0928816	 cumTime= 0.232567	 edges= 20687	 schur= 0	 lambda= 2.211848	 levenbergIter= 1
iteration= 2	 chi2= 595218.996514	 time= 0.097783	 cumTime= 0.33035	 edges= 20687	 schur= 0	 lambda= 1.474565	 levenbergIter= 1
iteration= 3	 chi2= 200294.530793	 time= 0.0932981	 cumTime= 0.423648	 edges= 20687	 schur= 0	 lambda= 0.983043	 levenbergIter= 1
iteration= 4	 chi2= 79509.333911	 time= 0.0930886	 cumTime= 0.516737	 edges= 20687	 schur= 0	 lambda= 0.655362	 levenbergIter= 1
iteration= 5	 chi2= 38984.513156	 time= 0.0931075	 cumTime= 0.609844	 edges= 20687	 schur= 0	 lambda= 0.296231	 levenbergIter= 1
iteration= 6	 chi2= 22428.280780	 time= 0.0930975	 cumTime= 0.702942	 edges= 20687	 schur= 0	 lambda= 0.098744	 levenbergIter= 1
iteration= 7	 chi2= 11848.179196	 time= 0.092914	 cumTime= 0.795856	 edges= 20687	 schur= 0	 lambda= 0.032915	 levenbergIter= 1
iteration= 8	 chi2= 3911.974530	 time= 0.0929112	 cumTime= 0.888767	 edges= 20687	 schur= 0	 lambda= 0.010972	 levenbergIter= 1
iteration= 9	 chi2= 1632.943264	 time= 0.0928139	 cumTime= 0.981581	 edges= 20687	 schur= 0	 lambda= 0.003657	 levenbergIter= 1
iteration= 10	 chi2= 1487.884491	 time= 0.092632	 cumTime= 1.07421	 edges= 20687	 schur= 0	 lambda= 0.001219	 levenbergIter= 1
iteration= 11	 chi2= 1484.834488	 time= 0.092669	 cumTime= 1.16688	 edges= 20687	 schur= 0	 lambda= 0.000406	 levenbergIter= 1
iteration= 12	 chi2= 1484.725169	 time= 0.100757	 cumTime= 1.26764	 edges= 20687	 schur= 0	 lambda= 0.000135	 levenbergIter= 1
iteration= 13	 chi2= 1484.697637	 time= 0.0926231	 cumTime= 1.36026	 edges= 20687	 schur= 0	 lambda= 0.000045	 levenbergIter= 1
iteration= 14	 chi2= 1484.689306	 time= 0.0986676	 cumTime= 1.45893	 edges= 20687	 schur= 0	 lambda= 0.000015	 levenbergIter= 1
iteration= 15	 chi2= 1484.686781	 time= 0.0934959	 cumTime= 1.55243	 edges= 20687	 schur= 0	 lambda= 0.000005	 levenbergIter= 1
iteration= 16	 chi2= 1484.686017	 time= 0.0929148	 cumTime= 1.64534	 edges= 20687	 schur= 0	 lambda= 0.000003	 levenbergIter= 1
iteration= 17	 chi2= 1484.685785	 time= 0.0926096	 cumTime= 1.73795	 edges= 20687	 schur= 0	 lambda= 0.000002	 levenbergIter= 1
iteration= 18	 chi2= 1484.685715	 time= 0.0949583	 cumTime= 1.83291	 edges= 20687	 schur= 0	 lambda= 0.000001	 levenbergIter= 1
iteration= 19	 chi2= 1484.685694	 time= 0.0929342	 cumTime= 1.92584	 edges= 20687	 schur= 0	 lambda= 0.000001	 levenbergIter= 1
iteration= 0	 chi2= 17530292.753120	 time= 0.139934	 cumTime= 0.139934	 edges= 20687	 schur= 0	 lambda= 6.635543	 levenbergIter= 1
iteration= 1	 chi2= 2129299.117923	 time= 0.0955665	 cumTime= 0.2355	 edges= 20687	 schur= 0	 lambda= 2.211848	 levenbergIter= 1
iteration= 2	 chi2= 651149.598373	 time= 0.107616	 cumTime= 0.343116	 edges= 20687	 schur= 0	 lambda= 1.474565	 levenbergIter= 1
iteration= 3	 chi2= 263280.650589	 time= 0.0931777	 cumTime= 0.436294	 edges= 20687	 schur= 0	 lambda= 0.983043	 levenbergIter= 1
iteration= 4	 chi2= 139140.833508	 time= 0.0936801	 cumTime= 0.529974	 edges= 20687	 schur= 0	 lambda= 0.655362	 levenbergIter= 1
iteration= 5	 chi2= 93049.977146	 time= 0.0933795	 cumTime= 0.623353	 edges= 20687	 schur= 0	 lambda= 0.436908	 levenbergIter= 1
iteration= 6	 chi2= 78603.996200	 time= 0.0933339	 cumTime= 0.716687	 edges= 20687	 schur= 0	 lambda= 0.291272	 levenbergIter= 1
iteration= 7	 chi2= 67503.646083	 time= 0.0932065	 cumTime= 0.809894	 edges= 20687	 schur= 0	 lambda= 0.194181	 levenbergIter= 1
iteration= 8	 chi2= 62036.249070	 time= 0.093237	 cumTime= 0.90313	 edges= 20687	 schur= 0	 lambda= 0.129454	 levenbergIter= 1
iteration= 9	 chi2= 55728.379527	 time= 0.0934387	 cumTime= 0.996569	 edges= 20687	 schur= 0	 lambda= 0.086303	 levenbergIter= 1
iteration= 10	 chi2= 54458.854631	 time= 0.262588	 cumTime= 1.25916	 edges= 20687	 schur= 0	 lambda= 0.460282	 levenbergIter= 3
iteration= 11	 chi2= 51658.226556	 time= 0.0930176	 cumTime= 1.35218	 edges= 20687	 schur= 0	 lambda= 0.306855	 levenbergIter= 1
iteration= 12	 chi2= 48659.353010	 time= 0.261949	 cumTime= 1.61412	 edges= 20687	 schur= 0	 lambda= 1.636558	 levenbergIter= 3
iteration= 13	 chi2= 46149.915167	 time= 0.0932402	 cumTime= 1.70736	 edges= 20687	 schur= 0	 lambda= 1.091039	 levenbergIter= 1
iteration= 14	 chi2= 45915.971660	 time= 0.178166	 cumTime= 1.88553	 edges= 20687	 schur= 0	 lambda= 1.454718	 levenbergIter= 2
iteration= 15	 chi2= 44061.422364	 time= 0.0931777	 cumTime= 1.97871	 edges= 20687	 schur= 0	 lambda= 0.969812	 levenbergIter= 1
iteration= 16	 chi2= 40770.034338	 time= 0.262715	 cumTime= 2.24142	 edges= 20687	 schur= 0	 lambda= 5.172331	 levenbergIter= 3
iteration= 17	 chi2= 39013.915512	 time= 0.092792	 cumTime= 2.33422	 edges= 20687	 schur= 0	 lambda= 3.448220	 levenbergIter= 1
iteration= 18	 chi2= 38621.920752	 time= 0.177494	 cumTime= 2.51171	 edges= 20687	 schur= 0	 lambda= 4.597627	 levenbergIter= 2
iteration= 19	 chi2= 37681.010445	 time= 0.0928297	 cumTime= 2.60454	 edges= 20687	 schur= 0	 lambda= 3.065085	 levenbergIter= 1
iteration= 0	 chi2= 17620204.603548	 time= 0.143099	 cumTime= 0.143099	 edges= 20687	 schur= 0	 lambda= 6.635543	 levenbergIter= 1
iteration= 1	 chi2= 2216910.645659	 time= 0.100875	 cumTime= 0.243974	 edges= 20687	 schur= 0	 lambda= 2.211848	 levenbergIter= 1
iteration= 2	 chi2= 711479.533521	 time= 0.0998516	 cumTime= 0.343826	 edges= 20687	 schur= 0	 lambda= 1.474565	 levenbergIter= 1
iteration= 3	 chi2= 455786.574952	 time= 0.0943952	 cumTime= 0.438221	 edges= 20687	 schur= 0	 lambda= 0.983043	 levenbergIter= 1
iteration= 4	 chi2= 349303.701181	 time= 0.0939907	 cumTime= 0.532212	 edges= 20687	 schur= 0	 lambda= 0.655362	 levenbergIter= 1
iteration= 5	 chi2= 290511.509870	 time= 0.0945504	 cumTime= 0.626762	 edges= 20687	 schur= 0	 lambda= 0.436908	 levenbergIter= 1
iteration= 6	 chi2= 285764.539184	 time= 0.267306	 cumTime= 0.894067	 edges= 20687	 schur= 0	 lambda= 2.330177	 levenbergIter= 3
iteration= 7	 chi2= 272829.228602	 time= 0.183598	 cumTime= 1.07767	 edges= 20687	 schur= 0	 lambda= 3.106903	 levenbergIter= 2
iteration= 8	 chi2= 265316.852742	 time= 0.180183	 cumTime= 1.25785	 edges= 20687	 schur= 0	 lambda= 4.142537	 levenbergIter= 2
iteration= 9	 chi2= 254750.145074	 time= 0.19671	 cumTime= 1.45456	 edges= 20687	 schur= 0	 lambda= 5.523382	 levenbergIter= 2
iteration= 10	 chi2= 239029.413551	 time= 0.262686	 cumTime= 1.71724	 edges= 20687	 schur= 0	 lambda= 7.364510	 levenbergIter= 2
iteration= 11	 chi2= 221276.475209	 time= 0.203841	 cumTime= 1.92109	 edges= 20687	 schur= 0	 lambda= 9.819347	 levenbergIter= 2
iteration= 12	 chi2= 203728.160714	 time= 0.209781	 cumTime= 2.13087	 edges= 20687	 schur= 0	 lambda= 13.092462	 levenbergIter= 2
iteration= 13	 chi2= 178795.068816	 time= 0.217076	 cumTime= 2.34794	 edges= 20687	 schur= 0	 lambda= 17.456616	 levenbergIter= 2
iteration= 14	 chi2= 161887.653452	 time= 0.181292	 cumTime= 2.52924	 edges= 20687	 schur= 0	 lambda= 23.275488	 levenbergIter= 2
iteration= 15	 chi2= 139326.416703	 time= 0.182996	 cumTime= 2.71223	 edges= 20687	 schur= 0	 lambda= 31.033984	 levenbergIter= 2
iteration= 16	 chi2= 125855.505707	 time= 0.183293	 cumTime= 2.89552	 edges= 20687	 schur= 0	 lambda= 41.378646	 levenbergIter= 2
iteration= 17	 chi2= 114661.699644	 time= 0.184179	 cumTime= 3.0797	 edges= 20687	 schur= 0	 lambda= 55.171528	 levenbergIter= 2
iteration= 18	 chi2= 108912.056968	 time= 0.192901	 cumTime= 3.2726	 edges= 20687	 schur= 0	 lambda= 73.562037	 levenbergIter= 2
iteration= 19	 chi2= 107690.955713	 time= 0.124838	 cumTime= 3.39744	 edges= 20687	 schur= 0	 lambda= 49.041358	 levenbergIter= 1
