iteration= 0	 chi2= 157.105692	 time= 0.00914692	 cumTime= 0.00914692	 edges= 2826	 schur= 0	 lambda= 19.536557	 levenbergIter= 1
iteration= 1	 chi2= 157.104617	 time= 0.00353532	 cumTime= 0.0126822	 edges= 2826	 schur= 0	 lambda= 13.024372	 levenbergIter= 1
iteration= 2	 chi2= 157.104575	 time= 0.00399706	 cumTime= 0.0166793	 edges= 2826	 schur= 0	 lambda= 8.682914	 levenbergIter= 1
iteration= 3	 chi2= 157.104566	 time= 0.00427389	 cumTime= 0.0209532	 edges= 2826	 schur= 0	 lambda= 5.788610	 levenbergIter= 1
iteration= 4	 chi2= 157.104563	 time= 0.00377841	 cumTime= 0.0247316	 edges= 2826	 schur= 0	 lambda= 3.859073	 levenbergIter= 1
iteration= 5	 chi2= 157.104562	 time= 0.00348376	 cumTime= 0.0282154	 edges= 2826	 schur= 0	 lambda= 2.572715	 levenbergIter= 1
iteration= 6	 chi2= 157.104561	 time= 0.00443804	 cumTime= 0.0326534	 edges= 2826	 schur= 0	 lambda= 1.715144	 levenbergIter= 1
iteration= 7	 chi2= 157.104561	 time= 0.00382125	 cumTime= 0.0364747	 edges= 2826	 schur= 0	 lambda= 1.143429	 levenbergIter= 1
iteration= 8	 chi2= 157.104561	 time= 0.00354136	 cumTime= 0.040016	 edges= 2826	 schur= 0	 lambda= 0.762286	 levenbergIter= 1
iteration= 9	 chi2= 157.104560	 time= 0.00343161	 cumTime= 0.0434476	 edges= 2826	 schur= 0	 lambda= 0.508191	 levenbergIter= 1
iteration= 10	 chi2= 157.104560	 time= 0.00425082	 cumTime= 0.0476984	 edges= 2826	 schur= 0	 lambda= 0.338794	 levenbergIter= 1
iteration= 11	 chi2= 157.104560	 time= 0.00390118	 cumTime= 0.0515996	 edges= 2826	 schur= 0	 lambda= 0.225863	 levenbergIter= 1
iteration= 12	 chi2= 157.104560	 time= 0.00354069	 cumTime= 0.0551403	 edges= 2826	 schur= 0	 lambda= 0.150575	 levenbergIter= 1
iteration= 13	 chi2= 157.104560	 time= 0.00341325	 cumTime= 0.0585536	 edges= 2826	 schur= 0	 lambda= 0.100383	 levenbergIter= 1
iteration= 14	 chi2= 157.104560	 time= 0.00388752	 cumTime= 0.0624411	 edges= 2826	 schur= 0	 lambda= 0.066922	 levenbergIter= 1
iteration= 15	 chi2= 157.104560	 time= 0.00373119	 cumTime= 0.0661723	 edges= 2826	 schur= 0	 lambda= 0.044615	 levenbergIter= 1
iteration= 16	 chi2= 157.104560	 time= 0.00345282	 cumTime= 0.0696251	 edges= 2826	 schur= 0	 lambda= 0.029743	 levenbergIter= 1
iteration= 17	 chi2= 157.104560	 time= 0.00340054	 cumTime= 0.0730256	 edges= 2826	 schur= 0	 lambda= 0.019829	 levenbergIter= 1
iteration= 18	 chi2= 157.104560	 time= 0.0035231	 cumTime= 0.0765487	 edges= 2826	 schur= 0	 lambda= 0.013219	 levenbergIter= 1
iteration= 19	 chi2= 157.104560	 time= 0.00346234	 cumTime= 0.0800111	 edges= 2826	 schur= 0	 lambda= 0.008813	 levenbergIter= 1
iteration= 0	 chi2= 2420.240893	 time= 0.00896003	 cumTime= 0.00896003	 edges= 2826	 schur= 0	 lambda= 19.551280	 levenbergIter= 1
iteration= 1	 chi2= 2230.553959	 time= 0.00338572	 cumTime= 0.0123457	 edges= 2826	 schur= 0	 lambda= 6.517093	 levenbergIter= 1
iteration= 2	 chi2= 2166.793513	 time= 0.00354618	 cumTime= 0.0158919	 edges= 2826	 schur= 0	 lambda= 2.172364	 levenbergIter= 1
iteration= 3	 chi2= 2133.739941	 time= 0.00374563	 cumTime= 0.0196376	 edges= 2826	 schur= 0	 lambda= 0.724121	 levenbergIter= 1
iteration= 4	 chi2= 2115.972397	 time= 0.0037461	 cumTime= 0.0233836	 edges= 2826	 schur= 0	 lambda= 0.241374	 levenbergIter= 1
iteration= 5	 chi2= 2104.821548	 time= 0.00318768	 cumTime= 0.0265713	 edges= 2826	 schur= 0	 lambda= 0.080458	 levenbergIter= 1
iteration= 6	 chi2= 2095.875281	 time= 0.00332739	 cumTime= 0.0298987	 edges= 2826	 schur= 0	 lambda= 0.026819	 levenbergIter= 1
iteration= 7	 chi2= 2090.044325	 time= 0.00416181	 cumTime= 0.0340605	 edges= 2826	 schur= 0	 lambda= 0.008940	 levenbergIter= 1
iteration= 8	 chi2= 2088.083322	 time= 0.00334369	 cumTime= 0.0374042	 edges= 2826	 schur= 0	 lambda= 0.002980	 levenbergIter= 1
iteration= 9	 chi2= 2087.692968	 time= 0.00315227	 cumTime= 0.0405565	 edges= 2826	 schur= 0	 lambda= 0.000993	 levenbergIter= 1
iteration= 10	 chi2= 2087.621551	 time= 0.00309998	 cumTime= 0.0436565	 edges= 2826	 schur= 0	 lambda= 0.000331	 levenbergIter= 1
iteration= 11	 chi2= 2087.616557	 time= 0.00356084	 cumTime= 0.0472173	 edges= 2826	 schur= 0	 lambda= 0.000221	 levenbergIter= 1
iteration= 12	 chi2= 2087.616497	 time= 0.00319959	 cumTime= 0.0504169	 edges= 2826	 schur= 0	 lambda= 0.000147	 levenbergIter= 1
iteration= 13	 chi2= 2087.616497	 time= 0.00306399	 cumTime= 0.0534809	 edges= 2826	 schur= 0	 lambda= 0.000098	 levenbergIter= 1
iteration= 14	 chi2= 2087.616497	 time= 0.00304342	 cumTime= 0.0565243	 edges= 2826	 schur= 0	 lambda= 0.000065	 levenbergIter= 1
iteration= 15	 chi2= 2087.616497	 time= 0.00304161	 cumTime= 0.0595659	 edges= 2826	 schur= 0	 lambda= 0.000044	 levenbergIter= 1
iteration= 16	 chi2= 2087.616497	 time= 0.00535835	 cumTime= 0.0649243	 edges= 2826	 schur= 0	 lambda= 0.000058	 levenbergIter= 2
iteration= 17	 chi2= 2087.616497	 time= 0.0095729	 cumTime= 0.0744972	 edges= 2826	 schur= 0	 lambda= 0.002480	 levenbergIter= 4
iteration= 18	 chi2= 2087.616497	 time= 0.00522529	 cumTime= 0.0797225	 edges= 2826	 schur= 0	 lambda= 0.003307	 levenbergIter= 2
iteration= 19	 chi2= 2087.616497	 time= 0.0138747	 cumTime= 0.0935971	 edges= 2826	 schur= 0	 lambda= 72.248895	 levenbergIter= 6
iteration= 0	 chi2= 1148.807497	 time= 0.00899854	 cumTime= 0.00899854	 edges= 2826	 schur= 0	 lambda= 19.536557	 levenbergIter= 1
iteration= 1	 chi2= 1115.782244	 time= 0.003367	 cumTime= 0.0123655	 edges= 2826	 schur= 0	 lambda= 6.512186	 levenbergIter= 1
iteration= 2	 chi2= 1114.353849	 time= 0.00307997	 cumTime= 0.0154455	 edges= 2826	 schur= 0	 lambda= 2.170729	 levenbergIter= 1
iteration= 3	 chi2= 1114.288071	 time= 0.00382899	 cumTime= 0.0192745	 edges= 2826	 schur= 0	 lambda= 0.723576	 levenbergIter= 1
iteration= 4	 chi2= 1114.265556	 time= 0.00327228	 cumTime= 0.0225468	 edges= 2826	 schur= 0	 lambda= 0.241192	 levenbergIter= 1
iteration= 5	 chi2= 1114.250872	 time= 0.00315656	 cumTime= 0.0257033	 edges= 2826	 schur= 0	 lambda= 0.080991	 levenbergIter= 1
iteration= 6	 chi2= 1114.238457	 time= 0.00306079	 cumTime= 0.0287641	 edges= 2826	 schur= 0	 lambda= 0.031083	 levenbergIter= 1
