iteration= 0	 chi2= 491888.619278	 time= 0.359184	 cumTime= 0.359184	 edges= 4949	 schur= 0	 lambda= 0.224733	 levenbergIter= 1
iteration= 1	 chi2= 174977.170800	 time= 0.318306	 cumTime= 0.67749	 edges= 4949	 schur= 0	 lambda= 0.149822	 levenbergIter= 1
iteration= 2	 chi2= 61370.355779	 time= 0.323456	 cumTime= 1.00095	 edges= 4949	 schur= 0	 lambda= 0.099881	 levenbergIter= 1
iteration= 3	 chi2= 22490.935576	 time= 0.334876	 cumTime= 1.33582	 edges= 4949	 schur= 0	 lambda= 0.066588	 levenbergIter= 1
iteration= 4	 chi2= 10227.820462	 time= 0.336921	 cumTime= 1.67274	 edges= 4949	 schur= 0	 lambda= 0.022196	 levenbergIter= 1
iteration= 5	 chi2= 6293.704601	 time= 0.305199	 cumTime= 1.97794	 edges= 4949	 schur= 0	 lambda= 0.011403	 levenbergIter= 1
iteration= 6	 chi2= 3638.586079	 time= 0.306933	 cumTime= 2.28488	 edges= 4949	 schur= 0	 lambda= 0.003801	 levenbergIter= 1
iteration= 7	 chi2= 2403.504186	 time= 0.303728	 cumTime= 2.5886	 edges= 4949	 schur= 0	 lambda= 0.002534	 levenbergIter= 1
iteration= 8	 chi2= 1077.908191	 time= 0.30434	 cumTime= 2.89294	 edges= 4949	 schur= 0	 lambda= 0.001687	 levenbergIter= 1
iteration= 9	 chi2= 727.540689	 time= 0.304	 cumTime= 3.19694	 edges= 4949	 schur= 0	 lambda= 0.000562	 levenbergIter= 1
iteration= 10	 chi2= 727.149537	 time= 0.304563	 cumTime= 3.50151	 edges= 4949	 schur= 0	 lambda= 0.000187	 levenbergIter= 1
iteration= 11	 chi2= 727.149446	 time= 0.303956	 cumTime= 3.80546	 edges= 4949	 schur= 0	 lambda= 0.000125	 levenbergIter= 1
iteration= 12	 chi2= 727.149446	 time= 0.304503	 cumTime= 4.10997	 edges= 4949	 schur= 0	 lambda= 0.000083	 levenbergIter= 1
iteration= 13	 chi2= 727.149446	 time= 1.20378	 cumTime= 5.31374	 edges= 4949	 schur= 0	 lambda= 0.003555	 levenbergIter= 4
iteration= 14	 chi2= 727.149446	 time= 1.60754	 cumTime= 6.92129	 edges= 4949	 schur= 0	 lambda= 2.426958	 levenbergIter= 5
